id,artist,song,difficulty,seizure_warning,description,max_bpm,min_bpm,last_updated,single_player,two_player,thumb,url,url2,icon,hue,tags,authors,has_classics,has_oneshots,has_squareshots,has_swing,has_freetimes,has_holds,source_id,source_iid,id:1,uploaded,approval,kudos
6aTxMQSSi4yJozRZxCLWLE,Cadence Hira,Spin 2 Win,0,0,Spin 2 Win,160.0,160.0,1615713860,1,0,https://codex.rhythm.cafe/GfYarHgcQJGWK4t4aWWp9q.png,https://cdn.discordapp.com/attachments/611380148431749151/820452288454721566/Cadence_Hira_-_Spin_2_Win.rdzip,https://codex.rhythm.cafe/MMYr6vtiPMGNMc1fis5MVt.rdzip,https://codex.rhythm.cafe/R67j2sjuobpdH2u9RtgMmE.png,0.07,"[""Easy""]","[""Gyulparrow""]",1,0,0,0,0,0,rdl,https://cdn.discordapp.com/attachments/611380148431749151/820452288454721566/Cadence_Hira_-_Spin_2_Win.rdzip,6aTxMQSSi4yJozRZxCLWLE,1636984107,10,0
6f6UmWmBz7ofATG9TTeRmE,meganeko,Nano Love,2,1,"!!! Seizure Waring!!! 
Never trust your eyes!",130.0,130.0,1616519316,1,0,https://codex.rhythm.cafe/Fp7tVU6gSG5uhu8EZ2THLC.png,https://cdn.discordapp.com/attachments/611380148431749151/823832195989897226/meganeko_-_Nano_Love.rdzip,https://codex.rhythm.cafe/BMVdKi1aoWeEp9qrrdwmRQ.rdzip,https://codex.rhythm.cafe/SxcRkh4cw4SWQAyAcRkRjN.png,0.82,[],"[""Whiteapple0209""]",1,1,0,0,0,0,rdl,https://cdn.discordapp.com/attachments/611380148431749151/823832195989897226/meganeko_-_Nano_Love.rdzip,6f6UmWmBz7ofATG9TTeRmE,1636984107,10,0
6fJ11Ea1auQ41Jqf51Zo6c,Peak Divide,Proper Rhythm however...,0,0,"Happy April Fools, I guess.
Edit by yoshikirby26",109.0,109.0,1617231306,1,0,https://codex.rhythm.cafe/8HoR6gW5z4ZdF39JUjiLoC.png,https://cdn.discordapp.com/attachments/611380148431749151/827013843292389396/Peak_Divide_-_Proper_Rhythm_however....rdzip,https://codex.rhythm.cafe/6414Bk9DEef8HcDbvHzWro.rdzip,https://codex.rhythm.cafe/6gmWvaUUxQDqK5q5CsQvH3.png,0.5,"[""8beat"",""meme""]","[""yoshikirby26""]",1,0,0,0,1,0,rdl,https://cdn.discordapp.com/attachments/611380148431749151/827013843292389396/Peak_Divide_-_Proper_Rhythm_however....rdzip,6fJ11Ea1auQ41Jqf51Zo6c,1636984107,10,0
6gA8VK5zaccvNRr1LdmT67,Danny Baranowsky,Fungal Funk,1,0,"Hailey ventures into the crypt. Who, or what, will she find?
Gameplay by plaster, with edits by Infectious. VFX by Infectious.
Music, sprites, and sound effects from Crypt of the Necrodancer.",130.0,130.0,1592769036,1,1,https://codex.rhythm.cafe/SNKqKuNQpqkak8RzwHe6W2.png,https://cdn.discordapp.com/attachments/611380148431749151/724412324366123038/Danny_Baranowsky_-_Fungal_Funk_ver2.rdzip,https://codex.rhythm.cafe/82kcHX5RxbWroyQvMmacvN.rdzip,https://codex.rhythm.cafe/VDfnopxvvpyVDkj7snhKaR.png,0.3,"[""COTN"",""Crypt of the Necrodancer"",""dannyB"",""VGM"",""electronic"",""rock"",""1p"",""2p""]","[""plastermaster"",""InfectiousStepocity""]",1,1,0,1,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/724412324366123038/Danny_Baranowsky_-_Fungal_Funk_ver2.rdzip,6gA8VK5zaccvNRr1LdmT67,1636940011,10,0
6i7ttTrpHRxjFCJ5Qd6FQs,Guy Moon,Danny Phantom Theme Song but it never starts,0,0,hes a phantom,119.9,119.9,1609013268,1,0,https://codex.rhythm.cafe/BMuf6j4oYt5bu5R8tBSyeG.png,https://cdn.discordapp.com/attachments/611380148431749151/792578102295003136/Guy_Moon_-_Danny_Phantom_Theme_Song_but_it_never_starts.rdzip,https://codex.rhythm.cafe/K2jAhKi92E82RfmhJpPcdE.rdzip,https://codex.rhythm.cafe/HGJSduiyC3RcAQeN9W2y2v.png,0.3,"[""meme"",""1p"",""hes a phantom""]","[""Bayou""]",0,0,0,0,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/792578102295003136/Guy_Moon_-_Danny_Phantom_Theme_Song_but_it_never_starts.rdzip,6i7ttTrpHRxjFCJ5Qd6FQs,1636984107,10,0
6kTWCoVDyHei8WaQhTbSQP,Riya,Destroying Garden,1,0,(Fix ver),120.0,120.0,1615722816,1,0,https://codex.rhythm.cafe/XMzSMzcqaUp4ZBLEkJ27io.png,https://cdn.discordapp.com/attachments/611380148431749151/820489902487240724/Riya_-_Destroying_Garden_fix.rdzip,https://codex.rhythm.cafe/JXxwtQVZ78fB7KLXqdXWRU.rdzip,https://codex.rhythm.cafe/MZPm125fKyeDQoUFF8xvp4.png,0.24,"[""Destroying Garden""]","[""Gyulparrow""]",1,1,0,1,1,0,rdl,https://cdn.discordapp.com/attachments/611380148431749151/820489902487240724/Riya_-_Destroying_Garden_fix.rdzip,6kTWCoVDyHei8WaQhTbSQP,1636984107,10,0
6m7mupAK5vpEax3evU2qi6,Sleeping Wolf,Greyscale,1,0,"if i stay in greyscale, can you love me?",133.0,133.0,1607273236,1,0,https://codex.rhythm.cafe/Nqn8V8UhHECMMXVtERjfkW.png,https://cdn.discordapp.com/attachments/611380148431749151/785308151922556958/Sleeping_Wolf_-_Greyscale.rdzip,https://codex.rhythm.cafe/96mroRQBJ2rPXt1AU9eTAR.rdzip,https://codex.rhythm.cafe/LRLHcLpssuNZUz35E1WQxk.png,0.5,"[""alternative"",""rock"",""negabloom except subtle""]","[""okamii""]",1,1,1,1,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/785308151922556958/Sleeping_Wolf_-_Greyscale.rdzip,6m7mupAK5vpEax3evU2qi6,1636984107,10,0
6nQf4gFrvLGqhnfw3xqsAh,zts,air's gravity,0,0,"RDSRT2 Block C Entry
",137.0,137.0,1586294016,1,0,https://codex.rhythm.cafe/29hnRGoWPaiR9GEyW5DMz7.png,https://cdn.discordapp.com/attachments/611380148431749151/697072049591549981/zts_-_airs_gravity.rdzip,https://codex.rhythm.cafe/QdRM1wqqEt8XBxQqHfHStg.rdzip,https://codex.rhythm.cafe/A6g1jXffG2NKiaW5ai3o4z.png,0.85,"[""RDSRT2"",""maimai"",""oneshot""]","[""Zisos""]",1,1,0,0,0,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/697072049591549981/zts_-_airs_gravity.rdzip,6nQf4gFrvLGqhnfw3xqsAh,1636984107,10,0
6oDpXVWvyBmtosy9dEpCvo,I DONT KNOW HOW BUT THEY FOUND ME,Sugar Pills,1,0,Diagnosis: Alternative Medicine,122.0,122.0,1613781772,1,0,https://codex.rhythm.cafe/9bs3uVYZ1nfo9igqUitxJo.png,https://cdn.discordapp.com/attachments/611380148431749151/813192414520148008/I_DONT_KNOW_HOW_BUT_THEY_FOUND_ME_-_Sugar_Pills.rdzip,https://codex.rhythm.cafe/EAukCSvvLeekiXJVnhCyjx.rdzip,https://codex.rhythm.cafe/6ipykqXekV6mbzmkv6ABY4.png,0.12,"[""RDVS2"",""iDKHOW""]","[""DPS2004"",""Xeno""]",1,1,0,0,0,0,rdl,https://cdn.discordapp.com/attachments/611380148431749151/813192414520148008/I_DONT_KNOW_HOW_BUT_THEY_FOUND_ME_-_Sugar_Pills.rdzip,6oDpXVWvyBmtosy9dEpCvo,1636984107,10,0
6oZTWmcZMmwdVQXxaVn8ef,Wax//Wane,Bones,1,0,"the pain of losing you, flooding through my soul",100.0,100.0,1621193384,1,0,https://codex.rhythm.cafe/5KHrcaz3yVeinHsKW2p6X4.png,https://cdn.discordapp.com/attachments/611380148431749151/843677351841890304/WaxWane_-_Bones.rdzip,https://codex.rhythm.cafe/WTyMWdF4BP29Hsk9jsDtwp.rdzip,https://codex.rhythm.cafe/DWHLoUiUfRN4tapK34txkQ.png,0.7,"[""hold beats""]","[""midnight""]",1,0,0,1,1,1,rdl,https://cdn.discordapp.com/attachments/611380148431749151/843677351841890304/WaxWane_-_Bones.rdzip,6oZTWmcZMmwdVQXxaVn8ef,1636984107,10,0
